,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
Hair Clinic,امبابة,42,1.5,80,3,0,0,0,0,0,0,217,6,318,9,101,3,146,3,76,1.5,0,0,27,1
Other,امبابة,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,مصر الجديدة,61,1.5,0,0,0,0,0,0,0,0,0,0,157,5.5,0,0,42,1.5,0,0,0,0,0,0
Skin Clinic,الزمالك,393,18,1612,46.5,83,4,477,18,1167,24,1053,25.5,139,3,35,1,1823,57.5,126,3,0,0,878,27
Eva Care,عين شمس,0,0,0,0,0,0,306,12,0,0,49,3,0,0,0,0,0,0,153,6,153,6,0,0
Glow,امبابة,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0
Hair Clinic,امبابة,0,0,0,0,153,3,0,0,0,0,80,3,0,0,101,3,153,3,0,0,0,0,0,0
Recipe,مصر الجديدة,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6
Skin Clinic,الزمالك,0,0,0,0,0,0,0,0,271,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0
Eva Care,عين شمس,0,0,0,0,185,4,153,6,0,0,0,0,139,6,189,4,0,0,146,9,49,3,0,0
Glow,امبابة,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,امبابة,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,69,3,104,3
Recipe,مصر الجديدة,174,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
